month,withdrawal_amt
2015-01,113819320.36
2015-02,125428742.0
2015-03,112995472.0
2015-04,116198736.0
2015-05,160613236.0
2015-06,864309669.13
2015-07,4647694842.66
2015-08,9060110375.13
2015-09,9739721068.59
2015-10,9496546193.29
2015-11,8913550904.39
2015-12,9784755176.62
2016-01,8291576853.64
2016-02,7362125419.47
2016-03,9220220100.79
2016-04,10029253338.04
2016-05,8848153753.0
2016-06,9669233982.66
2016-07,8979444775.44
2016-08,9319171157.84
2016-09,7556263556.03
2016-10,8132238502.55
2016-11,6787119721.97
2016-12,5928980118.49
2017-01,6204672938.85
2017-02,5361240332.58
2017-03,5789834691.6
2017-04,4211487984.19
2017-05,4644975090.01
2017-06,3939019797.0
2017-07,3593253576.14
2017-08,4071317786.16
2017-09,4785987752.47
2017-10,5130759191.18
2017-11,4993841746.38
2017-12,4131276374.21
2018-01,3305051645.12
2018-02,3471023774.28
2018-03,2679578359.81
2018-04,2577939532.66
2018-05,2852910147.29
2018-06,2842196453.92
2018-07,2465076324.26
2018-08,2046133554.73
2018-09,1995643960.05
2018-10,2179257214.82
2018-11,1555169994.84
2018-12,1208159081.99
2019-01,573110951.86
2019-02,449574132.87
2019-03,73614879.4
